,COUNTYFP,COUNTYNAME,STATE
35588,021,Laramie County,WY
35592,023,Lincoln County,WY
35595,025,Natrona County,WY
35599,027,Niobrara County,WY
35601,029,Park County,WY
35605,031,Platte County,WY
35609,033,Sheridan County,WY
35612,035,Sublette County,WY
35615,037,Sweetwater County,WY
35620,039,Teton County,WY
35623,041,Uinta County,WY
35625,043,Washakie County,WY
35627,045,Weston County,WY
35629,010,Eastern District,AS
35634,020,Manu'a District,AS
35639,030,Rose Island,AS
35640,040,Swains Island,AS
35641,050,Western District,AS
35645,010,Guam,GU
35665,085,Northern Islands Municipality,MP
35667,100,Rota Municipality,MP
35669,110,Saipan Municipality,MP
35675,120,Tinian Municipality,MP
35677,001,Adjuntas Municipio,PR
35694,003,Aguada Municipio,PR
35713,005,Aguadilla Municipio,PR
35730,007,Aguas Buenas Municipio,PR
35740,009,Aibonito Municipio,PR
35749,011,Añasco Municipio,PR
35773,013,Arecibo Municipio,PR
35793,015,Arroyo Municipio,PR
35800,017,Barceloneta Municipio,PR
35805,019,Barranquitas Municipio,PR
35813,021,Bayamón Municipio,PR
35825,023,Cabo Rojo Municipio,PR
35835,025,Caguas Municipio,PR
35846,027,Camuy Municipio,PR
35860,029,Canóvanas Municipio,PR
35866,031,Carolina Municipio,PR
35880,033,Cataño Municipio,PR
35882,035,Cayey Municipio,PR
35904,037,Ceiba Municipio,PR
35913,039,Ciales Municipio,PR
35922,041,Cidra Municipio,PR
35936,043,Coamo Municipio,PR
35947,045,Comerío Municipio,PR
35956,047,Corozal Municipio,PR
35969,049,Culebra Municipio,PR
35975,051,Dorado Municipio,PR
35982,053,Fajardo Municipio,PR
35991,054,Florida Municipio,PR
35992,055,Guánica Municipio,PR
36001,057,Guayama Municipio,PR
36012,059,Guayanilla Municipio,PR
36030,061,Guaynabo Municipio,PR
36040,063,Gurabo Municipio,PR
36050,065,Hatillo Municipio,PR
36061,067,Hormigueros Municipio,PR
36067,069,Humacao Municipio,PR
36081,071,Isabela Municipio,PR
36096,073,Jayuya Municipio,PR
36107,075,Juana Díaz Municipio,PR
36122,077,Juncos Municipio,PR
36132,079,Lajas Municipio,PR
36145,081,Lares Municipio,PR
36157,083,Las Marías Municipio,PR
36173,085,Las Piedras Municipio,PR
36181,087,Loíza Municipio,PR
36188,089,Luquillo Municipio,PR
36195,091,Manatí Municipio,PR
36205,093,Maricao Municipio,PR
36212,095,Maunabo Municipio,PR
36223,097,Mayagüez Municipio,PR
36245,099,Moca Municipio,PR
36257,101,Morovis Municipio,PR
36271,103,Naguabo Municipio,PR
36282,105,Naranjito Municipio,PR
36290,107,Orocovis Municipio,PR
36307,109,Patillas Municipio,PR
36324,111,Peñuelas Municipio,PR
36338,113,Ponce Municipio,PR
36370,115,Quebradillas Municipio,PR
36379,117,Rincón Municipio,PR
36390,119,Río Grande Municipio,PR
36400,121,Sabana Grande Municipio,PR
36408,123,Salinas Municipio,PR
36415,125,San Germán Municipio,PR
36434,127,San Juan Municipio,PR
36453,129,San Lorenzo Municipio,PR
36464,131,San Sebastián Municipio,PR
36488,133,Santa Isabel Municipio,PR
36497,135,Toa Alta Municipio,PR
36506,137,Toa Baja Municipio,PR
36512,139,Trujillo Alto Municipio,PR
36520,141,Utuado Municipio,PR
36544,143,Vega Alta Municipio,PR
36553,145,Vega Baja Municipio,PR
36568,147,Vieques Municipio,PR
36577,149,Villalba Municipio,PR
36585,151,Yabucoa Municipio,PR
36595,153,Yauco Municipio,PR
36616,300,Midway Islands,UM
36617,010,St. Croix Island,VI
36627,020,St. John Island,VI
36632,030,St. Thomas Island,VI
